code,dayVol,weekVol,名称
399351,0.01375077276443595,0.03315572161033418,深圳创新
399352,0.013509491701103873,0.03212303737128087,深企综指
399353,0.012587201355048388,0.029214410341504165,国证物流
399355,0.012122756074627036,0.027924327405554256,长三角
399356,0.013640803894710342,0.03239809637334464,珠三角
399357,0.010054388726128023,0.02428784132621239,环渤海
399358,0.013476824368086265,0.031218084588366016,泰达指数
399359,0.011768284637950177,0.028151252176587302,国证基建
399360,0.0166536207860624,0.037651344027527255,新硬件
399361,0.01348139794889327,0.02987951753316944,国证商业
399362,0.013281609166298886,0.030542122033632692,国证民营
399363,0.017853185938361424,0.04107269415644091,计算机指
399364,0.01338687908171889,0.030353161790914913,中金消费
399365,0.014724431000824949,0.033375091982515426,国证农业
399366,0.014299401902937011,0.03174392448560861,国证大宗
399367,0.015571130698726414,0.03600102928453943,巨潮地产
399368,0.017046951758432818,0.038097331592479626,国证军工
399369,0.01201055188583387,0.02739709136930886,CBN-兴全
399370,0.013171737101043319,0.0301228839783207,国证成长
399371,0.010884234950878025,0.025752795137949973,国证价值
399372,0.012792005623731678,0.02928716020122952,大盘成长
399373,0.01073609909657996,0.026325603239096274,大盘价值
399374,0.014359557656940396,0.03302330671259852,中盘成长
399375,0.013265601674298256,0.030349791056448288,中盘价值
399376,0.015031467955625712,0.03422743025040204,小盘成长
399377,0.014244493014396155,0.03141038778669722,小盘价值
399378,0.012180927346660722,0.027956165880277346,南方低碳
399379,0.009678471480373336,0.023767916847959602,国证基金
399380,0.010313644362702126,0.02473784214869496,国证ETF
399381,0.014227060113558093,0.030864553648124054,1000能源
399382,0.015253844187669905,0.03458076142958563,1000材料
399383,0.01358185388233589,0.031632058369727135,1000工业
399384,0.013308885434007173,0.030257774458746337,1000可选
399385,0.014335637753162407,0.032101397604325656,1000消费
399386,0.014495921166242237,0.033158350156881226,1000医药
399387,0.011918078513091082,0.029236344179858466,1000金融
399388,0.017311573612203545,0.03966686470687859,1000信息
399389,0.016833892217902557,0.03763740692467524,国证通信
399390,0.010541065903617301,0.024217540633049834,1000公用
399391,0.012252706837468905,0.027854939452800202,投资时钟
399392,0.015028147799524187,0.03452366995430577,国证新兴
399393,0.015345030416584764,0.03525529415018907,国证地产
399394,0.014708776913252244,0.033899961724348615,国证医药
399395,0.017950747635604763,0.04089324819092194,国证有色
399396,0.01621930856375447,0.03720508310189301,国证食品
399397,0.014642333146086534,0.03416863966095596,OCT文化
399398,0.012837315242073275,0.028919535775140625,绩效指数
399399,0.012217225911931648,0.02771783002709984,中经GDP
399400,0.011881824927172864,0.027541290210306504,大中盘
399401,0.014568947356700042,0.03300772640716458,中小盘
399402,0.013208619455793727,0.030764064366773727,周期100
399403,0.013719896363835892,0.03126765088609849,防御100
399416,0.011152519570342297,0.025705349180353505,I300
399481,1.741901896932725e-4,6.48766023961488e-4,企债指数
399550,0.012177285770929686,0.02736402612523025,央视50
399551,0.015874183377770225,0.035717440281908125,央视创新
399552,0.011430806338097921,0.026370186443119836,央视成长
